AAA
[K-Fold and linear - SVM] C =  0.0001  , prior =  0.5 , minDCF =  0.15507172657551796
[K-Fold and linear - SVM] C =  0.011288378916846883  , prior =  0.9 , minDCF =  0.6220355288862236
[K-Fold and linear - SVM] C =  0.01623776739188721  , prior =  0.9 , minDCF =  0.6231746873961568
[K-Fold and linear - SVM] C =  0.023357214690901212  , prior =  0.9 , minDCF =  0.6300668742980723
[K-Fold and linear - SVM] C =  0.03359818286283781  , prior =  0.9 , minDCF =  0.6438221043921675
[K-Fold and linear - SVM] C =  0.04832930238571752  , prior =  0.9 , minDCF =  0.6329977700555294
[K-Fold and linear - SVM] C =  0.06951927961775606  , prior =  0.9 , minDCF =  0.5914036872501378
[K-Fold and linear - SVM] C =  0.1  , prior =  0.9 , minDCF =  0.6286362786907805
[K-Fold and linear - SVM] C =  0.0001  , prior =  0.1 , minDCF =  0.2729392542935895
[K-Fold and linear - SVM] C =  0.0001438449888287663  , prior =  0.1 , minDCF =  0.2702572818713507
[K-Fold and linear - SVM] C =  0.00020691380811147902  , prior =  0.1 , minDCF =  0.263813217062951
[K-Fold and linear - SVM] C =  0.00029763514416313193  , prior =  0.1 , minDCF =  0.2627032022627537
[K-Fold and linear - SVM] C =  0.00042813323987193956  , prior =  0.1 , minDCF =  0.2603751606659668
[K-Fold and linear - SVM] C =  0.0006158482110660267  , prior =  0.1 , minDCF =  0.25736915225455137
[K-Fold and linear - SVM] C =  0.0008858667904100823  , prior =  0.1 , minDCF =  0.26080720865153556
[K-Fold and linear - SVM] C =  0.0012742749857031334  , prior =  0.1 , minDCF =  0.2600212298405148
[K-Fold and linear - SVM] C =  0.0018329807108324356  , prior =  0.1 , minDCF =  0.25858717905114087
[K-Fold and linear - SVM] C =  0.0026366508987303583  , prior =  0.1 , minDCF =  0.25790921223651236
[K-Fold and linear - SVM] C =  0.00379269019073225  , prior =  0.1 , minDCF =  0.2587250858838085
[K-Fold and linear - SVM] C =  0.005455594781168515  , prior =  0.1 , minDCF =  0.25682909227259043
[K-Fold and linear - SVM] C =  0.007847599703514606  , prior =  0.1 , minDCF =  0.25220290391529215
[K-Fold and linear - SVM] C =  0.011288378916846883  , prior =  0.1 , minDCF =  0.24797886870728716
[K-Fold and linear - SVM] C =  0.01623776739188721  , prior =  0.1 , minDCF =  0.24808688070367937
[K-Fold and linear - SVM] C =  0.023357214690901212  , prior =  0.1 , minDCF =  0.24327456318987217
[K-Fold and linear - SVM] C =  0.03359818286283781  , prior =  0.1 , minDCF =  0.2392366571383761
[K-Fold and linear - SVM] C =  0.04832930238571752  , prior =  0.1 , minDCF =  0.22637842235785233
[K-Fold and linear - SVM] C =  0.06951927961775606  , prior =  0.1 , minDCF =  0.22548443155043937
[K-Fold and linear - SVM] C =  0.1  , prior =  0.1 , minDCF =  0.22824452113279498
